Artist Name,Artist ID,Genres
Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,"['classic texas country', 'contemporary country']"
Grey,4lDBihdpMlOalxy1jkUbPl,['pop edm']
Doechii,4E2rKHVDssGJm2SCDOMMJB,['alternative r&b']
Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,"['deep house', 'house']"
Kungs,7keGfmQR4X5w0two1xKZ7d,"['edm', 'pop dance', 'uk dance']"
Julian Perretta,2JLl6rSFWx9YuSPLcLhkAG,['uk pop']
Madonna,6tbjWDEIzxoDsBA1FuhfPW,"['dance pop', 'pop']"
Nathan Dawe,2gduEC76ry33RVurAvT05p,"['pop dance', 'uk dance']"
JID,6U3ybJ9UHNKEdsH7ktGBZ7,"['hip hop', 'pop rap', 'rap', 'underground hip hop']"
League of Legends,47mIJdHORyRerp4os813jD,"['speedrun', 'video game music']"
Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']"
Mabel,1MIVXf74SZHmTIp4V4paH4,"['pop', 'uk pop']"
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']"
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['pop', 'viral pop']"
Tones And I,2NjfBq1NflQcKSeiDooVjY,['australian pop']
Sam Feldt,20gsENnposVs2I4rQ5kvrf,"['edm', 'pop dance', 'tropical house']"
Violet Days,4uNv6RD2YXwoaKgHfJZkkL,['indie electropop']
Alesso,4AVFqumd2ogHFlRbKIjp1t,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
WATT,4olE3I5QU0dvSR7LIpqTXc,['modern alternative rock']
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']"
Shakira,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Kygo,23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']"
Jubël,4FcZfItjVIsfO9TynErl7X,['swedish pop']
NEIMY,71Dhj822M1LGpuryPIV2KO,"['scandipop', 'tropical house']"
DJ Snake,540vIaP2JwjQb9dm3aArA4,"['edm', 'electronic trap', 'pop', 'pop dance']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'pop']"
Tainy,0GM7qgcRCORpGnfcN2tCiB,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
Bella Poarch,26cMerAxjx9GedFt0lMDjm,['modern alternative pop']
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,"['indietronica', 'metropopolis', 'pop', 'uk pop']"
Speed Radio,1YzaVDzA3EdEipDSUeNQER,['sped up']
salem ilese,3QJUFtGBGL05vo0kCJZsmT,"['alt z', 'modern indie pop']"
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,"['k-pop', 'k-pop boy group']"
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,['electro house']
